incident_id,dataset,service,severity,alert,logs,metrics,root_cause,resolution,mttr_minutes_baseline,source
RAW-INC-0011,bgl,bgl-kernel,P1,Operational event,- 1117838571 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.51.885834 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",81,public_raw_logs
RAW-INC-0012,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.041388 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",78,public_raw_logs
RAW-INC-0013,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.199063 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",45,public_raw_logs
RAW-INC-0014,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.345821 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",88,public_raw_logs
RAW-INC-0015,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.493353 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",58,public_raw_logs
RAW-INC-0016,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.638135 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",52,public_raw_logs
RAW-INC-0017,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.807927 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",54,public_raw_logs
RAW-INC-0018,bgl,bgl-kernel,P1,Operational event,- 1117838572 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.52.951717 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",72,public_raw_logs
RAW-INC-0019,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.125780 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",62,public_raw_logs
RAW-INC-0020,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.276129 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",65,public_raw_logs
RAW-INC-0021,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.414979 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",88,public_raw_logs
RAW-INC-0022,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.573391 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",75,public_raw_logs
RAW-INC-0023,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.722611 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",65,public_raw_logs
RAW-INC-0024,bgl,bgl-kernel,P1,Operational event,- 1117838573 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.53.870042 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",75,public_raw_logs
RAW-INC-0025,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.019446 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",86,public_raw_logs
RAW-INC-0026,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.161937 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",85,public_raw_logs
RAW-INC-0027,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.309788 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",68,public_raw_logs
RAW-INC-0028,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.532078 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",45,public_raw_logs
RAW-INC-0029,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.672029 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",78,public_raw_logs
RAW-INC-0030,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.822857 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",69,public_raw_logs
RAW-INC-0031,bgl,bgl-kernel,P1,Operational event,- 1117838574 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.54.958702 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",49,public_raw_logs
RAW-INC-0032,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.114809 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",83,public_raw_logs
RAW-INC-0033,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.258578 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",69,public_raw_logs
RAW-INC-0034,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.401336 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",75,public_raw_logs
RAW-INC-0035,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.551171 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",62,public_raw_logs
RAW-INC-0036,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.696784 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",53,public_raw_logs
RAW-INC-0037,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.841735 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",84,public_raw_logs
RAW-INC-0038,bgl,bgl-kernel,P1,Operational event,- 1117838575 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.55.973893 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",76,public_raw_logs
RAW-INC-0039,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.126048 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",88,public_raw_logs
RAW-INC-0040,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.275900 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",45,public_raw_logs
RAW-INC-0041,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.420533 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",77,public_raw_logs
RAW-INC-0042,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.558188 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",60,public_raw_logs
RAW-INC-0043,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.715625 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",47,public_raw_logs
RAW-INC-0044,bgl,bgl-kernel,P1,Operational event,- 1117838576 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.56.863230 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",78,public_raw_logs
RAW-INC-0045,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.001213 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",50,public_raw_logs
RAW-INC-0046,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.170578 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",69,public_raw_logs
RAW-INC-0047,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.319602 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",53,public_raw_logs
RAW-INC-0048,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.468068 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",81,public_raw_logs
RAW-INC-0049,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.609155 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",66,public_raw_logs
RAW-INC-0050,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.757117 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",77,public_raw_logs
RAW-INC-0051,bgl,bgl-kernel,P1,Operational event,- 1117838577 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.57.915514 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",51,public_raw_logs
RAW-INC-0052,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.047957 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",72,public_raw_logs
RAW-INC-0053,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.199532 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",53,public_raw_logs
RAW-INC-0054,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.351645 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",57,public_raw_logs
RAW-INC-0055,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.514875 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",49,public_raw_logs
RAW-INC-0056,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.670503 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",76,public_raw_logs
RAW-INC-0057,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.824652 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",82,public_raw_logs
RAW-INC-0058,bgl,bgl-kernel,P1,Operational event,- 1117838578 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.58.973175 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",74,public_raw_logs
RAW-INC-0059,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.108201 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",57,public_raw_logs
RAW-INC-0060,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.257767 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",64,public_raw_logs
RAW-INC-0061,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.413771 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",80,public_raw_logs
RAW-INC-0062,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.553525 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",60,public_raw_logs
RAW-INC-0063,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.703464 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",78,public_raw_logs
RAW-INC-0064,bgl,bgl-kernel,P1,Operational event,- 1117838579 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.42.59.858422 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",50,public_raw_logs
RAW-INC-0065,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.000708 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",78,public_raw_logs
RAW-INC-0066,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.132832 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",79,public_raw_logs
RAW-INC-0067,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.277471 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",59,public_raw_logs
RAW-INC-0068,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.428176 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",69,public_raw_logs
RAW-INC-0069,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.561919 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",72,public_raw_logs
RAW-INC-0070,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.713415 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",50,public_raw_logs
RAW-INC-0071,bgl,bgl-kernel,P1,Operational event,- 1117838580 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.00.869117 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"cpu=85%, memory=70%",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",83,public_raw_logs
RAW-INC-0072,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.014845 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",77,public_raw_logs
RAW-INC-0073,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.172337 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,latency_p95=2200ms,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",55,public_raw_logs
RAW-INC-0074,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.317488 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",64,public_raw_logs
RAW-INC-0075,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.470239 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",76,public_raw_logs
RAW-INC-0076,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.606902 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",49,public_raw_logs
RAW-INC-0077,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.767944 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,node_health=degraded,No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",45,public_raw_logs
RAW-INC-0078,bgl,bgl-kernel,P1,Operational event,- 1117838581 2005.06.03 R02-M1-N0-C:J12-U11 2005-06-03-15.43.01.917819 R02-M1-N0-C:J12-U11 RAS KERNEL INFO instruction cache parity error corrected,"replication_factor=1,target=3",No strong failure pattern detected,"Monitor logs, correlate with related alerts, and escalate if repeated.",47,public_raw_logs
